"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode"
"11","APRS Report Ch8","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"12","TX Prohibit","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"13","Talk Around","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","On","Off","251.1","0","Off","Off"
"14","Work Alone","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","On","251.1","0","Off","Off"
"15","Through Mode","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On"
"16","Ranging","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","On","Off"
"17","CTCSS Dec 62.5","440.00000","440.00000","A-Analog","High","25K","62.5","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"18","DCS Dec D021N","440.00000","440.00000","A-Analog","High","25K","D021N","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"19","CTCSS Enc 254.1","440.00000","440.00000","A-Analog","High","25K","Off","254.1","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"20","DCS Enc D777I","440.00000","440.00000","A-Analog","High","25K","Off","D777I","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"21","Squelch CTCSSDCS","440.00000","440.00000","A-Analog","High","25K","62.5","Off","Group Call 55","Group Call","55","Default","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"22","OptSig DTMF1","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"23","OptSig 2Tone","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","2Tone","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"24","OptSig 5Tone","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","5Tone","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"25","PTT ID Start","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Start","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"26","PTT ID End","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","End","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"27","PTT ID StartEnd","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Start&End","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"28","Reverse","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","On","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"29","2TONE Decode","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"30","CustomCTCSS123.4","440.00000","440.00000","A-Analog","High","25K","123.4","123.4","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","123.4","0","Off","Off"
"31","D Pwr Mid","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"32","TxPerm CFree","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","ChannelFree","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"33","TxPerm DiffCC","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"34","TxPerm SameCC","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"35","Private Call 99","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Private Call 99","Private Call","99","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"36","Radio ID Custom","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Custom","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"37","Color Code 0","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"38","Color Code 15","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","15","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"39","Slot2","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"40","RxGroupListA","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","RXGroupListA","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"41","Encryption 1","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","1","Off","Off","Off","251.1","0","Off","Off"
"42","Encryption 32","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","32","Off","Off","Off","251.1","0","Off","Off"
"43","Enhanced Encrypt","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Enhanced Encryption","24","Off","Off","Off","251.1","0","Off","Off"
"44","Simplex TDMA","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"45","CallConfirmation","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off"
"46","TDMA Adaptive","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","On","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"47","D Ranging","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","On","Off"
"4001","Channel VFO A","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"4002","Channel VFO B","155.00000","155.00000","D-Digital","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
